step,cgm,sbi_updated,sbi_status,sbi_scale_kabs,sbi_scale_kp1,sbi_scale_kp2,sbi_scale_kp3,ekf_g_model,residual,residual_abs,residual_nis,fault_alarm,fault_reason,xhat_g,xhat_x,xhat_i,smith_predicted_glucose,controller_input_glucose,insulin_raw_u_per_hr,fault_override_active,insulin_safe_u_per_hr,insulin_applied_u_per_hr,meal_effect,tcp_rtt_ms,smith_delay_steps,actuation_source
0,161.50103427812817,False,insufficient_history,1.0,1.0,1.0,1.0,138.5,23.001034278128174,23.001034278128174,0.01055493364583556,False,normal,161.48956204005594,-0.041300057059977864,15.09920634920635,154.14586325409297,154.1573354921652,6.9641841138084475,False,6.0,6.0,0.0,,3,local
1,160.8721683742032,False,skip_interval,1.0,1.0,1.0,1.0,158.91508393805316,1.9570844361500406,1.9570844361500406,0.0005015384250128805,False,normal,160.8657616702339,-0.039979681449510036,15.634621749419445,153.61103241201675,153.61743911598606,1.595325673238837,False,1.595325673238837,1.595325673238837,0.0,,3,local
2,157.95283681847428,False,skip_interval,1.0,1.0,1.0,1.0,158.3224735867222,-0.3696367682479149,0.3696367682479149,1.8349273545830955e-05,False,normal,157.95407785258683,-0.03505609933087776,15.412125217495499,151.11462749886164,151.11338646474908,1.324807022894326,False,1.324807022894326,1.324807022894326,0.0,,3,local
3,156.1478776755406,False,skip_interval,1.0,1.0,1.0,1.0,155.55637395995748,0.5915037155831158,0.5915037155831158,4.930857492588427e-05,False,normal,156.1457936406636,-0.0321961797286791,15.296275804408676,149.56424982266398,149.56633385754097,1.41907899466017,False,1.41907899466017,1.41907899466017,0.0,,3,local
4,155.4037292414014,False,skip_interval,1.0,1.0,1.0,1.0,153.83850395863044,1.5652252827709674,1.5652252827709674,0.00035583470217946574,False,normal,155.39804579911842,-0.03119766761306332,15.25928789606185,148.92314951701914,148.92883295930213,1.5212579417935206,False,1.5212579417935206,1.5212579417935206,0.0,,3,local
5,155.62987719713652,False,skip_interval,1.0,1.0,1.0,1.0,153.1281435091625,2.501733687974024,2.501733687974024,0.0009204527223797539,False,normal,155.62067904860052,-0.03178069296012492,15.254628461163506,149.1140296992939,149.1232278478299,1.6266095747232854,False,1.6266095747232854,1.6266095747232854,0.0,,3,local
6,156.4565140447266,False,insufficient_history,1.0,1.0,1.0,1.0,153.3396450961705,3.116868948556089,3.116868948556089,0.0014231443425776187,False,normal,156.44509918925732,-0.03324775506205408,15.263215265389038,149.8208669173895,149.83228177285878,1.7016599534303765,False,1.7016599534303765,1.7016599534303765,0.0,,3,local
7,156.92280269170286,False,skip_interval,1.0,1.0,1.0,1.0,154.12284422979445,2.7999584619084033,2.7999584619084033,0.001132474869130955,False,normal,156.91269115893783,-0.03404521937843414,15.274096160927588,150.22176858239433,150.23188011515936,1.6732013839784992,False,1.6732013839784992,1.6732013839784992,0.0,,3,local
8,156.01237297010422,False,skip_interval,1.0,1.0,1.0,1.0,154.56705660099095,1.4453163691132715,1.4453163691132715,0.0002994100965257068,False,normal,156.00719399851496,-0.032677003840553394,15.275627883074117,149.4454179544768,149.45059692606605,1.522406392169905,False,1.522406392169905,1.522406392169905,0.0,,3,local
9,153.37536792184972,False,skip_interval,1.0,1.0,1.0,1.0,153.70683429858923,-0.3314663767395132,0.3314663767395132,1.5993015091213006e-05,False,normal,153.37657415393036,-0.028735337301364707,15.261284176225104,147.18999026522604,147.1887840331454,1.3132948865856886,False,1.3132948865856886,1.3132948865856886,0.0,,3,local
10,150.07784638591832,False,skip_interval,1.0,1.0,1.0,1.0,151.20774544623384,-1.1298990603155232,1.1298990603155232,0.0001944304318612874,False,normal,150.08214832842563,-0.023931969193884906,15.234803102337084,144.36543192308395,144.36112998057664,1.2052698786380904,False,1.2052698786380904,1.2052698786380904,0.0,,3,local
