theta_kabs,theta_kmax,theta_kmin,theta_kp1,theta_kp2,theta_kp3,theta_ka1,theta_ka2,theta_kd,theta_ksc,theta_Vmx,theta_Km0,theta_Vm0,theta_ke1,theta_ke2,theta_Fsnc,theta_Rdb,theta_PCRb
0.8283842,1.1848817,0.76606244,1.2433834,0.7231574,0.7836438,1.2871283,0.7275936,1.1081228,1.118239,1.0542214,0.97309226,0.88347477,0.8614437,1.0777923,0.95558876,0.88015276,1.0635425
0.655411,1.0837415,0.90277535,0.7821042,0.75523835,1.2239817,0.7296086,0.7206765,1.1158011,1.0195433,1.1283474,1.1440355,1.0413191,1.0655059,0.9098925,1.102947,1.1475487,0.969027
1.3025438,0.7820826,0.94181836,1.0266502,1.1411145,0.703626,0.8108621,1.1898484,0.9845116,1.0488071,0.9626438,1.126038,1.0281861,0.8554656,0.96993166,1.1359967,1.1295817,1.0888761
0.9895417,0.87456775,0.77644765,1.1481878,1.2896167,1.162391,0.85594547,0.8274867,0.9608035,0.97832865,0.9988329,1.0030667,0.92398834,0.97372085,1.0582473,0.9450846,0.9112186,1.0989516
1.5772971,1.11431,1.029956,0.77742004,1.0175904,1.1661688,1.0994809,1.2625479,0.97092694,1.0137879,0.9988748,1.0305431,1.018614,0.91031957,1.0451523,1.0696526,1.1040009,1.0121912
0.9841829,1.1084045,0.83647335,0.8182733,0.9216905,0.99603325,0.868918,0.7517361,0.8045861,0.953085,0.89947754,1.0437567,0.85855335,0.8595544,1.143953,1.1398757,1.017708,0.8584968
0.7054449,1.1482593,0.94661975,0.9838504,1.0365132,0.8404081,1.1918606,0.7551353,0.9189086,0.8455651,0.94436705,1.0439949,1.0988735,1.0511857,1.1097039,0.8911614,1.0183926,0.96830326
1.5748631,1.2189502,0.7109495,1.2527282,0.81479204,0.7761659,1.055643,0.90938735,1.1710801,1.0615042,1.015739,0.88280797,0.89273953,1.1248736,1.0424644,0.9930518,0.9044821,1.0276899
1.1904134,0.81443465,1.0167779,0.9234102,0.7850125,0.74535656,0.9484111,0.8942004,1.0010365,0.80382663,0.95741,0.91628087,1.040845,0.86729467,1.1249666,1.0091468,1.0581615,0.95771563
1.014569,0.8393406,0.8884919,0.85351336,1.2793489,0.98805106,1.1918069,1.197115,0.9483653,1.1167789,1.1451696,1.0251645,0.8895751,0.9178926,0.966597,0.92100084,0.86610526,0.89654803
1.1696659,1.0569496,1.2664605,0.818392,1.1559092,0.9975811,0.8372461,1.2527794,0.9293044,0.82507986,1.1251243,0.974652,0.980453,1.0382805,0.9690089,1.0714186,1.0563654,1.0946354
0.887547,1.182249,0.85673344,1.0759339,1.2073194,0.78300977,1.0042765,1.2285326,1.1996198,0.8487309,1.0376055,0.901985,0.9595769,0.9856049,0.9739245,1.032152,0.90910107,1.1002703
1.0890467,0.9371281,1.1783063,0.75917214,0.9481793,0.7756171,0.95492166,0.8847861,0.9203506,1.0261109,1.110765,1.0916029,1.056811,0.8566165,1.0872519,0.9575625,1.1217078,0.87378496
0.98769695,1.0655454,1.1099654,1.1089122,1.097135,1.1423974,0.847951,0.7914977,0.95570016,0.9866252,0.93545943,1.1333702,1.117197,1.1383927,0.88341945,0.96394753,0.883294,1.1126674
1.5254653,0.9174073,0.8722258,1.1536489,0.96199334,0.9627075,1.1428022,1.0750436,1.1356046,0.805856,1.109018,0.9863434,1.14919,0.8924012,0.85018057,1.0932415,1.1333197,1.1032736
0.9515554,1.1105231,1.2272598,1.2779549,0.89466923,0.8213278,0.79959804,1.0801927,1.1851481,1.1487471,0.91607845,1.0703375,1.032115,0.93505526,1.0858529,1.1072285,1.122526,0.9103041
0.8977181,0.70482904,0.7529927,1.2006229,1.1541036,0.9864816,1.0671396,1.2069515,0.83758235,0.8160388,1.0888168,1.0514044,1.1215565,1.095382,0.8681944,0.95264834,1.1476288,1.0479045
1.3230565,1.048847,0.79384595,0.8294272,1.0371183,0.75829023,0.74768245,1.2462751,0.87393534,0.8050475,0.8853831,0.8662986,0.9890624,0.94283205,0.914955,0.90967524,1.0836959,1.1285958
0.87062806,0.9557491,0.97240967,0.8630907,1.2464553,0.7855169,1.1370432,0.9149052,0.8132026,1.1422406,0.960683,1.0204943,0.96589345,1.1381993,1.1464992,0.98723316,0.8912419,0.88427854
0.64278966,0.74407345,0.7407613,1.0505993,1.1532235,0.7442508,0.7745854,1.2550484,1.1620705,1.1796454,1.1297596,1.0046585,1.1399535,1.0620712,0.99946994,1.1163383,1.0930738,1.1065253
1.3189468,0.7992051,0.73173636,0.93954545,0.99757713,0.8229603,0.7681976,0.7361322,0.953718,0.80406225,0.91178644,0.9676046,0.89767355,0.9037706,0.9876901,0.9039171,1.0822654,1.0973561
1.1969758,1.1504902,0.7737777,0.85054797,0.892417,1.1140102,0.76039916,1.0706202,0.8018636,0.9247302,0.86018026,1.0004917,1.0823591,0.9143674,0.9587717,0.8537479,0.8947187,1.0625502
1.021035,1.0588435,1.1409258,1.1331198,0.8782644,1.1663185,1.1838136,0.7825421,1.087255,1.1124759,0.8549236,0.9622036,1.0883206,1.0735718,0.8647693,0.8712169,0.9700318,0.91694987
1.4844673,0.8663982,1.1322762,0.8504607,1.248157,0.7640547,1.2896087,1.1375762,1.0543468,0.92436194,1.0325931,0.90567786,1.072264,1.0281545,0.958579,0.8605752,1.0663936,0.93565166
0.8012666,0.7270614,1.1092919,1.2393177,0.97432786,1.2181599,0.7890788,1.0065743,0.961175,0.9670333,0.938413,0.9942313,0.9469164,0.89467376,0.9373488,0.8651742,0.97748834,0.88691515
0.86303616,1.2512016,1.1452345,0.9666713,0.92497486,0.71553487,0.72693765,0.7547442,0.9957527,1.0556848,1.0729349,1.1280017,1.0508395,0.97966754,0.9468469,0.9358718,0.9122581,1.1457647
0.66143775,1.2435464,1.0877643,0.7626349,0.8186248,0.9413784,1.2522976,1.1354309,0.9795466,0.9209861,0.98264915,0.9449967,1.0359219,0.9597137,1.1189157,0.95470494,0.8534735,1.0015184
1.5809554,1.0619482,1.1378242,1.2040014,1.0665697,1.2925549,0.9273627,1.1197603,1.001883,0.90868837,1.0709783,1.1060236,1.1237233,1.1138196,1.1071426,1.1092225,1.1471575,1.1136012
1.1118139,0.9502524,1.2002821,1.0219771,1.1824487,1.134733,1.2926879,1.2244341,0.9641134,0.97787964,0.8570377,1.0526854,1.0279877,0.8724608,1.075369,0.8906711,0.8724916,1.0630034
1.2224494,0.7737526,0.9564317,0.73695767,1.256001,1.1108952,1.1369675,1.2867037,0.84866554,0.98475504,0.9941324,0.8896837,1.0707924,1.0515813,1.0536243,0.8887524,0.8733393,0.94785297
0.6270509,1.011143,1.0922351,0.8749028,1.1547762,0.7331456,1.1579022,1.2097923,1.0884538,0.96919876,0.93314743,1.0369662,0.9518671,1.0452998,0.940257,0.9212399,1.0901269,1.0792191
0.783282,0.8679662,0.9471979,0.93030405,0.8173185,1.0752243,1.1452489,0.79750705,0.8717478,0.95343274,1.0139707,0.99485016,0.99072397,1.083952,0.8781417,0.9681747,1.0231986,0.99994594
0.61980927,1.0419044,0.85775656,1.2293892,1.1014986,0.9843448,0.74230194,0.7038565,1.1465876,1.0911233,0.96017426,1.0212438,1.0411141,1.1255008,1.0848507,0.8724296,1.1289496,1.0957081
1.2615921,0.90106034,0.8491881,1.2943952,1.109477,0.9840024,1.0480932,1.2946587,1.1518018,1.1033577,1.1164188,0.8944051,0.87009704,0.90917784,0.9576135,0.9031736,0.9120566,0.9033979
1.4894886,1.0944828,0.72925425,1.1124345,1.2945087,1.2564636,0.9555039,1.0720745,1.1845361,1.0268757,1.0100768,1.0071634,0.8580643,1.0259081,0.8556962,0.9911396,0.9984624,0.91517955
1.2111372,0.8635233,0.7233663,1.143016,0.7958721,0.88004595,0.7211558,0.72573936,0.90671605,1.162277,1.0981275,1.0547367,0.91169953,0.91614276,1.1392238,0.8678401,0.97990805,1.1299745
1.213304,1.1873847,1.2444167,1.2225599,1.0138886,0.730752,0.713412,0.98158437,0.99916035,1.0681137,1.1449747,0.8727097,0.85339904,0.9148222,0.86821026,1.0661081,0.9748336,1.0743893
1.3101263,0.8838635,1.2247039,0.98430455,1.104204,0.804999,0.9175218,0.7202322,1.157948,0.8573726,1.0373285,0.8745576,0.89415073,1.096485,1.0657749,0.9130126,0.86714447,1.0370675
1.5431981,1.0876474,1.1285694,0.80235714,1.2619913,0.9031135,0.95524955,1.097503,0.95076585,1.0103474,1.0145789,1.0244577,0.9786266,0.97995424,0.9864067,0.8744777,0.9394126,1.0292784
0.6685626,1.1428989,1.1855433,0.7333473,0.92151093,1.2030597,1.0480906,1.216286,0.9666344,1.0358214,1.0992628,0.88618374,1.1120592,1.091441,0.9672603,0.8826229,1.0273358,0.98471373
0.86262876,1.2208551,0.883588,0.77876943,0.9432341,0.79297763,1.1068578,1.1027392,1.1231925,0.9639196,0.8635815,0.9823966,0.9423226,0.89890915,1.0811735,0.882111,1.0688667,1.0104666
0.6150148,0.72637177,1.2363734,1.1517802,0.87326634,1.1911397,0.8067865,1.0455188,1.1779084,0.83792067,0.9984328,1.0339217,1.0779439,0.85492784,0.98357487,1.0424119,0.9727803,1.1125816
1.2130338,0.90940267,1.1207532,0.7338029,1.0545795,1.2584121,1.112851,0.81213504,1.1531856,0.92523414,1.0084509,1.0692779,1.0320847,1.143712,0.9317478,1.0695124,1.0639887,1.0315638
1.070747,0.7977526,0.96690035,0.74924845,0.7104992,1.0630558,0.8551211,0.9130342,1.1448209,1.0702314,1.0031533,1.0746218,0.99886787,1.0402982,1.0784861,1.0890927,1.0925131,0.89857954
0.83530957,0.8814597,1.10316,0.8173431,0.92479193,1.0561377,1.1400152,0.8175421,1.0476393,0.93837434,1.0257378,1.1198822,0.90959483,0.9062973,0.850227,1.0831608,1.1024288,1.0344886
0.7354089,1.2947576,0.8647142,1.2347156,0.77727723,0.8718472,1.2252074,0.9943144,0.9864969,1.0232916,0.9863238,1.1214204,1.01937,1.0657763,0.98953867,1.0233599,0.85142684,1.0130205
0.68796027,1.166457,0.8772655,0.8867219,1.1582227,0.7227643,1.0387083,0.7834669,0.9262186,1.0458003,0.9096913,0.9572276,0.86955947,1.1027727,0.95375574,1.0197796,0.97203434,0.8662558
1.2731891,0.80906516,0.8832516,0.7926861,0.75386524,0.8153667,1.2652494,0.74421126,0.89248806,1.1031682,1.1048626,0.9525885,0.9043432,1.1226611,1.0173961,1.0707681,0.8847703,1.0754844
1.4267788,0.8419676,1.2213105,0.89504796,0.73876506,0.8130602,0.9858988,1.239209,0.94493836,1.084335,1.14251,0.9804082,0.93745035,1.1057137,1.0820978,0.9006619,0.94393855,0.97074693
0.9708836,1.0677803,1.0791055,1.0340914,0.9122563,1.002863,1.2346773,0.84205955,0.9410085,1.0334579,1.1018698,1.0829442,0.8729134,0.95093536,0.9072289,1.1039467,0.9946074,1.0511068
1.0736692,1.1818862,1.0868243,1.2359494,0.72359836,0.73965496,1.1399916,1.1126672,0.9799539,1.0762047,1.0258349,1.0138514,0.9296754,1.1253425,1.0709542,1.0608788,1.0867374,0.88854617
1.4898654,1.2280519,0.8526123,1.0225136,1.2888513,0.8844501,1.2154179,1.0076125,0.8903504,0.8520249,0.9873163,0.9928497,1.0102943,1.0573049,0.8789216,1.106162,0.9566313,1.1099843
0.7091592,1.223801,1.1826106,0.77230555,0.7555425,1.2400912,0.9573207,0.81001633,0.9717452,1.1468376,0.9135948,0.9217562,0.95429605,1.08731,1.101203,0.8829085,0.94885105,0.96718293
0.9105023,1.2869862,0.92922145,0.82252353,1.2643217,0.7952845,0.8821362,1.2898742,1.1032277,0.9258959,1.028862,0.8764462,0.9783016,0.8765814,0.8903656,1.0563575,1.0340513,0.95059735
0.6756535,0.71535516,0.9299869,1.1721221,1.1711506,1.1054507,0.92391044,0.7563081,0.8785742,0.9031202,1.0271045,1.0824165,0.8547799,0.9369511,0.9239047,1.1043761,1.1364993,0.9263797
1.4630668,0.83515376,1.0222211,1.1714876,0.8923193,1.0997995,1.1634669,0.7047763,0.8950063,0.9273385,0.9274823,0.8794049,0.95484847,0.95609885,1.0771562,0.8729771,0.97038215,0.86532325
