theta_kabs,theta_kmax,theta_kmin,theta_kp1,theta_kp2,theta_kp3,theta_ka1,theta_ka2,theta_kd,theta_ksc,theta_Vmx,theta_Km0
1.074904,0.86652887,1.124924,1.0604591,0.9299543,0.9239411,1.0321158,1.063029,0.9924335,0.92978364,1.0868522,1.0607799
0.9917699,0.99970955,0.8873295,1.1026787,0.8992949,0.95487505,1.1363752,1.0842298,1.0810338,1.0522578,1.0506697,0.9149321
1.020071,0.98832476,1.1290121,0.88451713,0.9947713,0.89411,0.9987044,0.957792,0.9601753,1.0130554,1.0738434,1.0610687
1.168658,1.1385328,1.0977296,1.1768665,1.1081002,1.1868392,0.9699239,1.167754,1.0941783,1.0709221,1.0934087,0.9737094
1.0195884,0.9437786,0.97736704,1.1788776,1.1709498,0.9485331,1.1739129,0.97682095,0.9574086,1.0512164,0.9873311,0.98756915
0.8158669,0.8650147,0.94337654,1.1669924,1.1394821,1.0888596,0.92198277,0.9271666,1.0928159,0.91189337,0.98660535,1.0866498
1.0638193,1.1447567,0.86140466,0.91555244,1.0349014,1.1723912,1.0107672,1.15184,0.90066415,1.0527056,0.97682744,1.0638025
1.2341096,0.9196835,1.1729983,1.1703353,0.8874355,1.0776135,1.0303797,1.182219,1.0626636,1.0228242,1.0100038,0.9467197
1.0404415,1.0918558,0.8837419,1.1488557,0.9744032,1.153315,1.118905,0.92710865,1.0393553,1.074541,1.0429385,1.0044619
0.81698525,0.96628493,0.9689912,1.1828219,1.1608305,1.128061,0.9329132,1.0526699,1.0982493,0.9879406,1.0873753,1.0035087
1.0540313,0.89868903,0.96044135,1.0650754,0.9196398,0.97509885,0.87281936,1.1449015,0.9691705,1.0131865,0.9813562,0.9108372
0.9728823,1.0882361,0.9296095,0.91899276,0.9793195,1.0226861,0.94853556,0.8801794,0.902293,0.9765425,0.932985,1.0291711
0.83264667,1.1988965,0.96659213,0.90026474,0.99629056,1.0150543,0.9977347,0.9494437,0.9644446,0.9727223,0.9222113,1.0893124
1.1628602,0.8981496,1.1013482,1.1234164,0.8557442,0.9809042,1.1280408,1.1108338,0.9098461,0.9141446,0.9800212,0.94463325
