case,seed,rmse_real_vs_virtual,rmse_real_vs_nominal,mae_real_vs_virtual,mae_real_vs_nominal,mard_real_vs_virtual_pct,mard_real_vs_nominal_pct,improve_rmse_pct,virtual_better_than_nominal
0,900000,5.027981758117676,37.45775604248047,4.761439800262451,36.72034454345703,3.0952725559473038,24.562443792819977,86.57692747954391,1.0
1,900001,7.737794399261475,20.59807586669922,7.102435111999512,20.00336456298828,4.094373062252998,12.135950475931168,62.43438246690256,1.0
2,900002,10.16174602508545,41.75685119628906,9.119739532470703,40.73121643066406,3.875900059938431,17.853549122810364,75.66448203357699,1.0
3,900003,4.455076217651367,36.12666320800781,3.3623712062835693,35.17516326904297,2.178887464106083,23.197944462299347,87.66817684766453,1.0
4,900004,13.665910720825195,15.662672996520996,13.17288589477539,15.256585121154785,7.8126125037670135,8.834416419267654,12.748540917245244,1.0
5,900005,10.321005821228027,15.070320129394531,9.974654197692871,14.659168243408203,6.008689105510712,9.096094220876694,31.514355815859584,1.0
6,900006,5.713238716125488,26.087373733520508,5.460099220275879,25.49753761291504,3.481721132993698,16.399431228637695,78.09960184384386,1.0
7,900007,8.421496391296387,27.257490158081055,8.100896835327148,26.771963119506836,5.101709812879562,17.212432622909546,69.10391843689374,1.0
8,900008,7.935286998748779,15.018054962158203,6.926384925842285,14.569488525390625,3.7603728473186493,8.630192279815674,47.161686258681655,1.0
9,900009,2.630305528640747,3.530640125274658,2.3102200031280518,2.728297710418701,1.2307623401284218,1.6340015456080437,25.50060512224739,1.0
10,900010,3.483884334564209,15.597392082214355,2.962256908416748,14.725926399230957,1.4610015787184238,7.190123945474625,77.66367405396657,1.0
11,900011,3.7816691398620605,33.150794982910156,3.337048053741455,32.48329544067383,2.140890248119831,21.74701988697052,88.59252352225164,1.0
12,900012,2.5792555809020996,28.312259674072266,2.1885604858398438,27.649864196777344,1.0289419442415237,12.769366800785065,90.88996918439497,1.0
13,900013,4.299914360046387,37.622230529785156,3.2079732418060303,36.70043182373047,1.4807512052357197,16.88733547925949,88.57081491581901,1.0
14,900014,5.945765972137451,15.969847679138184,5.204856872558594,15.160219192504883,2.748239226639271,7.369804382324219,62.76879973060384,1.0
15,900015,6.15300178527832,24.295442581176758,5.783868312835693,23.881649017333984,2.7009811252355576,11.611063033342361,74.67425520354402,1.0
16,900016,5.959933757781982,12.582842826843262,5.422136306762695,12.179537773132324,2.6725754141807556,6.334272027015686,52.63444167746003,1.0
17,900017,5.763594627380371,26.3275089263916,4.836175918579102,25.525211334228516,2.9768049716949463,17.24374145269394,78.1080897418185,1.0
18,900018,13.255085945129395,11.85498332977295,12.955281257629395,11.430048942565918,7.371629029512405,6.4796119928359985,-11.810245332358992,0.0
19,900019,3.2367312908172607,2.8685412406921387,2.759751319885254,2.115710735321045,1.3951621018350124,1.2468227185308933,-12.83544558823504,0.0
20,900020,8.479571342468262,3.184649705886841,8.122712135314941,2.5262563228607178,4.540794715285301,1.453341729938984,-166.26386339426068,0.0
21,900021,19.312952041625977,58.20673751831055,18.640724182128906,56.90638732910156,7.513418793678284,23.01332652568817,66.82007467683522,1.0
22,900022,3.0664753913879395,36.502227783203125,2.7701759338378906,35.727134704589844,1.9104264676570892,24.382035434246063,91.59921030135314,1.0
23,900023,14.238874435424805,16.046579360961914,13.733968734741211,15.348329544067383,8.335790038108826,9.34734046459198,11.265359955373977,1.0
24,900024,5.381781101226807,10.73515510559082,5.041367530822754,10.138765335083008,2.85403523594141,5.759618058800697,49.86769126024085,1.0
25,900025,10.28271770477295,6.587209224700928,9.903682708740234,6.1615142822265625,5.189131200313568,3.150453418493271,-56.10127679282579,0.0
