case,seed,rmse_real_vs_virtual,rmse_real_vs_nominal,mae_real_vs_virtual,mae_real_vs_nominal,mard_real_vs_virtual_pct,mard_real_vs_nominal_pct,improve_rmse_pct,virtual_better_than_nominal
0,900000,6.234429836273193,9.243759155273438,5.91495943069458,8.675562858581543,3.404340520501137,4.936911910772324,32.55525450685789,1.0
1,900001,24.522085189819336,40.410125732421875,23.964576721191406,39.52511215209961,16.490958631038666,27.088439464569092,39.316978738958085,1.0
2,900002,3.89707612991333,13.182595252990723,3.1163580417633057,12.73667049407959,1.9333848729729652,7.571133971214294,70.43771689016087,1.0
3,900003,21.384014129638672,41.36573791503906,20.990617752075195,40.58026885986328,14.187468588352203,27.438414096832275,48.30500987662973,1.0
4,900004,3.7297000885009766,22.88766098022461,3.136796236038208,22.51793670654297,1.593375951051712,10.81368550658226,83.70431958196379,1.0
5,900005,23.3889217376709,46.8883056640625,22.49185562133789,45.680423736572266,17.713162302970886,35.42136549949646,50.11779289863034,1.0
6,900006,20.336750030517578,39.24007797241211,20.006248474121094,38.48517990112305,14.0645831823349,26.977697014808655,48.17352288439536,1.0
7,900007,16.196044921875,34.507694244384766,15.624260902404785,33.76641845703125,10.837414860725403,23.007965087890625,53.06540968175384,1.0
8,900008,8.869637489318848,19.66946792602539,8.474437713623047,19.249778747558594,5.077289044857025,11.396663635969162,54.90657132833214,1.0
9,900009,5.6719794273376465,5.4743499755859375,5.034115314483643,5.029241561889648,2.894759923219681,2.850084751844406,-3.6100989639515246,0.0
10,900010,3.491389513015747,12.745339393615723,2.8280906677246094,12.320507049560547,1.4688912779092789,6.332883238792419,72.60653949502026,1.0
11,900011,6.168520450592041,27.08839225769043,5.424227237701416,26.509634017944336,2.547280676662922,12.488506734371185,77.22817806272431,1.0
12,900012,4.599064350128174,13.418303489685059,3.349025249481201,12.88395881652832,2.2155500948429108,7.723653316497803,65.72544097200085,1.0
13,900013,14.18117904663086,15.948187828063965,13.63548469543457,15.220932006835938,8.576857298612595,9.548155218362808,11.0796837890491,1.0
14,900014,6.886562824249268,23.019771575927734,6.496633529663086,22.57978057861328,3.2057922333478928,10.915953665971756,70.0841391864605,1.0
15,900015,12.462478637695312,32.57143783569336,12.19283676147461,31.994062423706055,5.674147605895996,14.849935472011566,61.73801506533947,1.0
16,900016,17.5865478515625,37.89530563354492,17.05695343017578,36.98650360107422,12.01196014881134,25.793519616127014,53.59175085793506,1.0
17,900017,12.30549144744873,31.998180389404297,11.31126880645752,31.01071548461914,5.164851993322372,14.546258747577667,61.543152461495886,1.0
18,900018,19.421905517578125,34.40708923339844,18.851274490356445,33.50425720214844,12.386739253997803,21.95986956357956,43.55260514532111,1.0
19,900019,2.4901742935180664,6.459230422973633,1.9507994651794434,6.254362106323242,1.102520152926445,3.21209579706192,61.4478176121225,1.0
20,900020,4.465272426605225,9.052258491516113,3.870638847351074,8.361250877380371,2.3917440325021744,5.07236048579216,50.672283267317965,1.0
21,900021,5.559386730194092,9.796009063720703,4.7262282371521,9.004169464111328,2.8786947950720787,5.314861238002777,43.24845256847348,1.0
22,900022,23.125593185424805,39.551326751708984,22.60395622253418,38.78643035888672,9.993764758110046,17.171311378479004,41.530170831941646,1.0
23,900023,17.623626708984375,34.760406494140625,17.274375915527344,34.070560455322266,12.06977665424347,23.730339109897614,49.29971054292736,1.0
24,900024,25.9520206451416,46.144935607910156,25.385906219482422,45.142791748046875,18.3377206325531,32.46728479862213,43.759764092740625,1.0
25,900025,3.0669960975646973,3.9610018730163574,2.696485757827759,3.1765971183776855,1.446839701384306,1.580832153558731,22.570193201420086,1.0
